numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
101, 67, 70, 465, 492
101, 356, 418, 395, 354
101, 168, 337, 807, 733
101, 308, 772, 1242, 1276
101, 1045, 508, 548, 319
101, 821, 1651, 685, 274
101, 1033, 2069, 1033, 388
101, 2256, 2200, 462, 498
101, 2914, 1410, 155, 190
101, 1293, 2317, 349, 251
101, 2585, 2309, 517, 305
101, 2546, 2823, 1074, 603
101, 2962, 2380, 463, 418
101, 2320, 2125, 607, 258
101, 2932, 3375, 1070, 915
101, 3121, 3090, 728, 419
101, 4114, 2173, 451, 810
101, 3839, 4701, 189, 165
101, 3869, 2588, 589, 650
101, 5849, 5382, 271, 267
101, 4885, 5906, 313, 898
101, 104, 20, 969, 450
101, 185, 21, 421, 51
101, 491, 115, 1070, 126
101, 697, 121, 605, 38
101, 982, 116, 934, 20
101, 1825, 15, 703, 26
101, 1109, 121, 937, 124
101, 2197, 17, 387, 25
101, 2429, 114, 498, 22
101, 1588, 17, 337, 123
101, 2638, 116, 1740, 20
101, 2671, 20, 908, 24
101, 3018, 110, 1177, 24
101, 3935, 126, 1042, 299
101, 4229, 26, 636, 142
101, 4580, 124, 649, 174
101, 4729, 23, 912, 140
101, 8483, 22, 247, 24
101, 4399, 91, 559, 67
101, 8036, 124, 891, 24
101, 5542, 8, 725, 45
101, 44, 11, 404, 498
101, 192, 18, 366, 39
101, 229, 16, 382, 36
101, 1071, 131, 1874, 165
101, 693, 13, 392, 32
101, 1260, 130, 1124, 52
101, 1866, 28, 870, 143
101, 2835, 21, 468, 27
101, 2011, 15, 570, 127
101, 4367, 135, 1154, 241
101, 3945, 20, 364, 34
101, 3816, 16, 609, 26
101, 3664, 100, 890, 22
101, 1667, 127, 601, 32
101, 4959, 61, 1268, 30
101, 3292, 113, 614, 30
101, 6389, 110, 287, 24
101, 5043, 13, 205, 30
101, 7660, 28, 321, 135
101, 5644, 111, 719, 148
101, 5777, 6, 153, 47
