numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 111, 66, 504, 1616
51, 126, 25, 500, 543
51, 113, 64, 914, 3983
51, 73, 39, 552, 634
51, 160, 37, 2380, 1228
51, 119, 72, 665, 847
51, 112, 60, 656, 514
51, 85, 64, 2501, 933
51, 98, 25, 439, 501
51, 66, 29, 486, 493
51, 83, 29, 504, 814
51, 264, 144, 1083, 1288
51, 214, 29, 1330, 557
51, 116, 52, 543, 775
51, 92, 25, 775, 531
51, 104, 53, 697, 776
51, 96, 103, 729, 727
51, 202, 122, 833, 1029
51, 72, 44, 582, 501
51, 118, 40, 721, 3327
51, 79, 31, 2845, 1030
51, 241, 158, 690, 504
51, 72, 38, 631, 916
51, 107, 59, 499, 488
51, 111, 58, 748, 1121
51, 90, 69, 781, 601
51, 63, 56, 477, 2033
51, 188, 86, 709, 723
51, 70, 29, 499, 880
51, 135, 62, 430, 654
51, 119, 22, 651, 581
51, 66, 158, 766, 917
51, 61, 25, 861, 558
51, 58, 25, 424, 514
51, 55, 30, 739, 756
51, 94, 57, 455, 581
51, 256, 165, 853, 599
51, 106, 30, 487, 434
51, 74, 36, 622, 618
51, 117, 31, 783, 645
51, 76, 46, 502, 727
51, 96, 28, 1026, 629
51, 198, 73, 432, 445
51, 58, 29, 422, 427
51, 65, 29, 441, 449
51, 89, 27, 485, 2035
51, 219, 86, 959, 642
51, 94, 36, 763, 487
51, 65, 43, 782, 503
51, 71, 50, 575, 481
