numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 74, 59, 588, 920
51, 47, 23, 571, 3092
51, 104, 73, 1567, 844
51, 136, 47, 1266, 697
51, 223, 62, 1067, 694
51, 111, 22, 761, 631
51, 184, 149, 716, 1020
51, 69, 40, 2163, 486
51, 226, 72, 739, 841
51, 102, 31, 686, 752
51, 170, 175, 437, 694
51, 1245, 488, 1477, 1685
51, 367, 32, 1571, 1486
51, 214, 69, 557, 774
51, 101, 115, 3354, 1274
51, 214, 21, 526, 658
51, 252, 88, 642, 755
51, 245, 146, 686, 467
51, 102, 42, 695, 1013
51, 126, 28, 1376, 1203
51, 323, 181, 588, 521
51, 136, 30, 1136, 740
51, 248, 56, 484, 759
51, 506, 1000, 688, 466
51, 89, 32, 738, 875
51, 270, 60, 567, 595
51, 119, 45, 380, 328
51, 78, 29, 387, 383
51, 53, 46, 432, 548
51, 148, 34, 792, 486
51, 67, 45, 589, 1780
51, 89, 34, 607, 398
51, 99, 125, 717, 1027
51, 63, 49, 962, 405
51, 61, 26, 424, 388
51, 67, 34, 721, 518
51, 106, 53, 359, 800
51, 175, 28, 1176, 477
51, 65, 30, 418, 485
51, 98, 46, 798, 790
51, 78, 32, 551, 686
51, 99, 20, 689, 621
51, 130, 62, 487, 1116
51, 59, 37, 1473, 1220
51, 62, 26, 382, 436
51, 120, 24, 612, 447
51, 80, 44, 512, 366
51, 62, 36, 626, 377
51, 88, 62, 650, 392
51, 273, 52, 663, 1078
