numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 247, 357, 372, 410
51, 247, 95, 442, 15
51, 268, 27, 638, 27
51, 219, 28, 896, 23
51, 922, 732, 799, 22
51, 193, 18, 360, 17
51, 232, 13, 339, 16
51, 335, 20, 600, 15
51, 231, 28, 679, 14
51, 280, 47, 411, 108
51, 184, 39, 435, 19
51, 460, 17, 698, 118
51, 231, 19, 540, 19
51, 195, 14, 343, 17
51, 213, 14, 770, 42
51, 373, 46, 369, 17
51, 260, 16, 392, 26
51, 501, 90, 432, 115
51, 542, 18, 294, 27
51, 232, 14, 260, 35
51, 225, 38, 398, 38
51, 595, 23, 285, 77
51, 198, 21, 362, 23
51, 204, 17, 356, 26
51, 200, 24, 467, 113
51, 178, 16, 563, 119
51, 349, 21, 878, 20
51, 287, 63, 629, 23
51, 1757, 201, 1394, 38
51, 217, 16, 406, 52
51, 462, 42, 938, 110
51, 886, 21, 895, 150
51, 1789, 22, 383, 24
51, 243, 39, 432, 106
51, 448, 28, 740, 77
51, 534, 57, 355, 27
51, 409, 74, 485, 15
51, 1617, 31, 635, 53
51, 226, 50, 873, 23
51, 507, 61, 734, 52
51, 379, 31, 360, 21
51, 241, 26, 499, 18
51, 551, 29, 997, 860
51, 907, 17, 303, 51
51, 231, 23, 717, 16
51, 247, 25, 482, 160
51, 222, 46, 2206, 22
51, 212, 73, 798, 23
51, 249, 26, 479, 53
51, 200, 15, 434, 21
