numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 268, 360, 687, 570
51, 178, 22, 1009, 39
51, 326, 60, 1481, 29
51, 116, 23, 2681, 33
51, 114, 22, 373, 27
51, 121, 18, 406, 29
51, 100, 18, 445, 23
51, 165, 18, 465, 35
51, 147, 47, 1936, 108
51, 170, 56, 384, 51
51, 168, 67, 857, 38
51, 163, 44, 597, 27
51, 275, 31, 871, 85
51, 353, 16, 391, 49
51, 100, 18, 483, 28
51, 94, 15, 719, 33
51, 342, 18, 522, 39
51, 125, 20, 809, 31
51, 134, 29, 733, 43
51, 123, 20, 1091, 32
51, 287, 74, 795, 25
51, 136, 20, 475, 42
51, 187, 22, 808, 35
51, 133, 39, 389, 38
51, 132, 31, 908, 73
51, 106, 42, 1204, 31
51, 165, 22, 600, 43
51, 155, 22, 419, 43
51, 412, 15, 1894, 43
51, 148, 47, 421, 43
51, 136, 41, 872, 32
51, 110, 34, 1156, 31
51, 149, 19, 438, 39
51, 153, 23, 594, 154
51, 231, 40, 740, 47
51, 524, 424, 1137, 43
51, 151, 54, 430, 29
51, 133, 38, 784, 30
51, 117, 49, 995, 26
51, 114, 21, 503, 46
51, 108, 19, 589, 66
51, 238, 15, 1070, 169
51, 1405, 29, 491, 46
51, 175, 46, 806, 97
51, 153, 23, 468, 30
51, 130, 17, 467, 86
51, 129, 21, 876, 88
51, 287, 20, 884, 39
51, 159, 14, 812, 45
51, 130, 14, 760, 49
