numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 120, 132, 987, 1161
51, 188, 1679, 1090, 1116
51, 94, 317, 675, 508
51, 98, 90, 589, 1074
51, 118, 116, 496, 858
51, 119, 123, 465, 801
51, 129, 125, 598, 649
51, 78, 166, 495, 909
51, 83, 91, 558, 532
51, 128, 129, 875, 813
51, 205, 145, 714, 807
51, 151, 252, 694, 2485
51, 123, 277, 1050, 855
51, 314, 135, 588, 2765
51, 169, 150, 842, 780
51, 213, 97, 1056, 877
51, 116, 117, 616, 885
51, 312, 290, 1290, 1344
51, 135, 207, 965, 566
51, 137, 194, 1380, 1267
51, 198, 392, 1141, 722
51, 142, 176, 382, 2461
51, 753, 487, 1051, 839
51, 170, 191, 771, 475
51, 191, 216, 1158, 1229
51, 204, 470, 1142, 673
51, 244, 275, 1322, 3092
51, 465, 533, 1512, 1170
51, 320, 104, 433, 1869
51, 312, 418, 663, 428
51, 155, 210, 464, 369
51, 201, 303, 592, 983
51, 244, 201, 405, 465
51, 275, 576, 941, 1054
51, 656, 173, 721, 406
51, 180, 213, 829, 514
51, 266, 205, 487, 634
51, 612, 248, 493, 437
51, 210, 194, 416, 911
51, 276, 201, 515, 528
51, 165, 168, 634, 645
51, 306, 216, 1000, 351
51, 270, 320, 463, 667
51, 687, 351, 1155, 2326
51, 197, 768, 1724, 519
51, 291, 701, 1197, 1115
51, 533, 813, 1116, 504
51, 290, 275, 541, 486
51, 700, 686, 1112, 1048
51, 401, 701, 312, 376
