numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 111, 147, 1039, 642
51, 112, 130, 1240, 650
51, 82, 90, 455, 676
51, 71, 97, 1213, 728
51, 139, 150, 698, 2352
51, 130, 405, 1055, 961
51, 132, 98, 513, 470
51, 104, 165, 921, 597
51, 72, 1474, 2171, 749
51, 95, 135, 978, 1003
51, 70, 73, 994, 437
51, 103, 128, 391, 919
51, 195, 228, 498, 2170
51, 131, 128, 443, 2197
51, 218, 103, 1037, 767
51, 58, 64, 475, 717
51, 170, 304, 1219, 1042
51, 139, 71, 385, 823
51, 80, 78, 599, 776
51, 178, 75, 503, 2362
51, 81, 234, 808, 568
51, 138, 81, 738, 743
51, 402, 160, 1126, 968
51, 252, 365, 1148, 733
51, 137, 88, 641, 1201
51, 254, 87, 958, 1094
51, 355, 274, 653, 348
51, 75, 70, 394, 338
51, 88, 70, 521, 627
51, 133, 126, 597, 840
51, 446, 247, 1140, 1166
51, 281, 388, 707, 1845
51, 64, 112, 589, 1031
51, 211, 167, 743, 906
51, 184, 293, 953, 1238
51, 123, 135, 682, 604
51, 82, 133, 846, 1205
51, 109, 330, 765, 536
51, 103, 79, 412, 815
51, 80, 97, 598, 570
51, 81, 98, 1106, 565
51, 68, 144, 884, 1060
51, 102, 346, 944, 599
51, 117, 155, 1247, 1262
51, 455, 250, 868, 2931
51, 149, 185, 735, 893
51, 229, 160, 676, 1232
51, 195, 152, 776, 917
51, 379, 191, 1560, 1082
51, 103, 120, 627, 652
