numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 250, 232, 1391, 1249
51, 2757, 350, 446, 71
51, 311, 239, 672, 43
51, 392, 60, 471, 53
51, 314, 32, 621, 162
51, 619, 1022, 1220, 31
51, 156, 27, 338, 74
51, 235, 37, 505, 30
51, 638, 40, 2448, 152
51, 583, 71, 1055, 60
51, 537, 118, 766, 39
51, 287, 27, 371, 65
51, 202, 65, 835, 97
51, 320, 65, 412, 102
51, 145, 36, 577, 56
51, 455, 29, 673, 76
51, 409, 33, 411, 77
51, 230, 44, 639, 116
51, 545, 53, 384, 34
51, 227, 54, 1082, 37
51, 282, 123, 2149, 68
51, 187, 87, 400, 26
51, 214, 77, 731, 106
51, 419, 31, 2141, 872
51, 677, 162, 727, 39
51, 290, 55, 564, 34
51, 302, 29, 498, 36
51, 205, 37, 857, 30
51, 312, 79, 357, 51
51, 157, 25, 414, 32
51, 406, 135, 678, 100
51, 475, 51, 422, 44
51, 271, 150, 615, 37
51, 399, 138, 696, 172
51, 456, 123, 333, 35
51, 228, 86, 354, 34
51, 456, 107, 551, 67
51, 238, 50, 563, 26
51, 197, 59, 860, 36
51, 280, 171, 822, 50
51, 332, 174, 407, 31
51, 247, 52, 526, 171
51, 506, 275, 2611, 41
51, 477, 169, 929, 174
51, 502, 36, 1010, 36
51, 189, 70, 400, 52
51, 206, 24, 731, 119
51, 390, 35, 374, 143
51, 353, 34, 814, 137
51, 252, 55, 572, 32
