numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 645, 1389, 576, 610
51, 658, 170, 307, 27
51, 1969, 65, 235, 67
51, 1118, 152, 465, 53
51, 1073, 28, 642, 163
51, 782, 67, 241, 84
51, 705, 154, 524, 78
51, 953, 149, 720, 27
51, 1020, 166, 379, 84
51, 1963, 57, 406, 37
51, 2764, 67, 589, 27
51, 1093, 101, 555, 157
51, 2147, 144, 243, 33
51, 1531, 1212, 1108, 84
51, 878, 119, 380, 153
51, 1039, 145, 549, 39
51, 574, 28, 197, 72
51, 922, 55, 348, 138
51, 673, 139, 638, 152
51, 637, 61, 310, 25
51, 467, 30, 283, 30
51, 698, 184, 351, 116
51, 775, 144, 378, 27
51, 1267, 23, 319, 61
51, 3367, 43, 471, 135
51, 1081, 144, 398, 173
51, 940, 153, 538, 31
51, 1056, 25, 200, 38
51, 500, 34, 536, 167
51, 590, 177, 522, 27
51, 1193, 74, 342, 33
51, 522, 38, 269, 86
51, 1095, 137, 491, 127
51, 920, 158, 535, 35
51, 1021, 29, 184, 74
51, 530, 33, 240, 65
51, 1179, 150, 438, 172
51, 920, 103, 667, 24
51, 434, 35, 331, 50
51, 898, 102, 370, 32
51, 949, 175, 727, 33
51, 991, 155, 277, 49
51, 482, 111, 206, 31
51, 1008, 116, 329, 98
51, 809, 160, 281, 155
51, 1181, 30, 360, 27
51, 671, 42, 314, 169
51, 2454, 143, 460, 29
51, 1085, 28, 492, 1033
51, 1211, 27, 160, 41
