numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 92, 104, 556, 652
51, 105, 36, 673, 758
51, 103, 116, 2346, 651
51, 147, 89, 759, 679
51, 234, 121, 899, 921
51, 73, 58, 422, 503
51, 106, 125, 663, 626
51, 96, 34, 1118, 974
51, 108, 148, 650, 773
51, 76, 31, 505, 619
51, 108, 91, 859, 501
51, 153, 72, 788, 826
51, 111, 113, 921, 961
51, 229, 32, 610, 422
51, 106, 135, 468, 530
51, 75, 32, 466, 525
51, 103, 172, 820, 2550
51, 268, 42, 826, 88
51, 105, 157, 915, 745
51, 183, 67, 622, 24
51, 344, 162, 703, 1071
51, 289, 28, 2134, 31
51, 119, 161, 582, 2355
51, 266, 58, 1231, 32
51, 143, 166, 646, 888
51, 131, 31, 776, 30
51, 163, 167, 568, 771
51, 163, 34, 941, 43
51, 168, 291, 1082, 936
51, 265, 71, 600, 37
51, 149, 137, 578, 1041
51, 283, 29, 2301, 50
51, 164, 205, 558, 562
51, 293, 39, 893, 130
51, 258, 130, 773, 632
51, 164, 47, 4617, 27
51, 493, 442, 1640, 1059
51, 476, 186, 643, 22
51, 102, 131, 533, 1101
51, 213, 124, 1193, 121
51, 261, 136, 451, 651
51, 182, 61, 461, 40
51, 273, 232, 385, 649
51, 461, 61, 860, 47
51, 129, 156, 640, 778
51, 266, 130, 900, 108
51, 238, 129, 453, 617
51, 114, 144, 1358, 151
51, 254, 286, 1087, 1010
51, 503, 83, 444, 30
