numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 194, 143, 842, 880
51, 144, 59, 373, 52
51, 201, 266, 420, 504
51, 405, 121, 535, 38
51, 2499, 843, 717, 671
51, 260, 28, 277, 18
51, 227, 256, 343, 1036
51, 439, 173, 870, 127
51, 520, 843, 564, 358
51, 201, 25, 397, 19
51, 317, 229, 477, 901
51, 359, 51, 436, 27
51, 535, 261, 451, 509
51, 351, 51, 2369, 179
51, 1075, 502, 303, 295
51, 191, 29, 672, 143
51, 207, 661, 1915, 368
51, 209, 24, 404, 39
51, 985, 786, 455, 786
51, 443, 36, 333, 17
51, 344, 316, 474, 290
51, 648, 33, 231, 33
51, 347, 496, 210, 250
51, 539, 21, 206, 21
51, 562, 531, 660, 653
51, 1912, 27, 618, 26
51, 295, 338, 574, 1027
51, 786, 173, 2525, 163
51, 736, 645, 408, 418
51, 599, 66, 697, 23
51, 960, 676, 434, 508
51, 426, 25, 1121, 125
51, 1165, 695, 871, 340
51, 404, 38, 398, 90
51, 842, 593, 314, 521
51, 444, 38, 1846, 34
51, 382, 596, 486, 468
51, 414, 30, 3608, 31
51, 722, 311, 339, 312
51, 733, 32, 442, 41
51, 369, 392, 750, 668
51, 644, 26, 324, 21
51, 440, 337, 632, 741
51, 417, 144, 876, 34
51, 699, 556, 415, 793
51, 790, 145, 560, 114
51, 931, 2296, 428, 305
51, 483, 142, 712, 15
51, 2242, 873, 927, 408
51, 674, 30, 1729, 47
