numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
101, 105, 49, 759, 1242
101, 304, 282, 1058, 399
101, 88, 94, 625, 1279
101, 180, 195, 1006, 1110
101, 66, 90, 413, 542
101, 350, 295, 413, 724
101, 461, 166, 397, 473
101, 139, 198, 902, 389
101, 247, 158, 381, 440
101, 227, 181, 884, 434
101, 197, 174, 527, 452
101, 207, 272, 396, 789
101, 757, 167, 810, 319
101, 286, 313, 1037, 990
101, 585, 883, 342, 315
101, 304, 409, 647, 654
101, 238, 370, 1063, 1035
101, 402, 324, 399, 483
101, 468, 278, 298, 539
101, 440, 959, 300, 348
101, 259, 765, 291, 236
101, 284, 492, 477, 730
101, 237, 360, 724, 1043
101, 930, 808, 587, 361
101, 399, 902, 350, 477
101, 432, 547, 329, 577
101, 284, 363, 299, 250
101, 1195, 1010, 616, 274
101, 394, 377, 513, 476
101, 774, 482, 706, 823
101, 724, 270, 290, 290
101, 318, 381, 538, 965
101, 1394, 1125, 312, 331
101, 660, 666, 344, 416
101, 1271, 1631, 519, 354
101, 527, 1152, 385, 281
101, 698, 743, 853, 664
101, 627, 460, 383, 448
101, 529, 622, 606, 404
101, 798, 1073, 262, 300
101, 1284, 1750, 404, 524
101, 541, 1045, 383, 217
101, 679, 846, 343, 353
101, 1138, 809, 457, 601
101, 576, 753, 943, 730
101, 985, 560, 645, 709
101, 539, 592, 362, 222
101, 1099, 1350, 430, 213
101, 590, 722, 345, 716
101, 1058, 1201, 312, 271
