numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
11, 30, 118, 307, 511
11, 160, 67, 815, 509
11, 42, 3, 156, 152
11, 28, 2, 217, 289
11, 113, 43, 811, 529
11, 158, 20, 392, 646
11, 26, 4, 588, 162
11, 18, 6, 192, 273
11, 54, 2, 220, 633
11, 134, 46, 1926, 845
11, 24, 22, 172, 377
11, 28, 3, 176, 259
11, 57, 5, 483, 661
11, 157, 47, 573, 495
11, 32, 51, 689, 150
11, 32, 2, 178, 180
11, 17, 2, 204, 173
11, 21, 5, 565, 391
11, 162, 39, 232, 675
11, 57, 2, 169, 354
11, 31, 3, 154, 182
11, 70, 2, 475, 571
11, 80, 2, 508, 771
11, 82, 2, 436, 459
11, 23, 5, 157, 178
11, 22, 2, 319, 492
11, 183, 48, 562, 425
11, 171, 52, 644, 690
11, 140, 2, 169, 147
11, 24, 5, 286, 251
11, 50, 2, 536, 672
11, 20, 3, 776, 196
11, 67, 47, 608, 159
11, 24, 2, 191, 192
11, 53, 4, 400, 455
11, 160, 41, 433, 701
11, 23, 5, 668, 158
