numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
11, 42, 169, 260, 345
11, 201, 22, 449, 11
11, 84, 41, 525, 163
11, 42, 2, 178, 1
11, 79, 45, 340, 266
11, 241, 54, 453, 2
11, 197, 447, 441, 398
11, 47, 17, 141, 11
11, 81, 58, 143, 268
11, 314, 117, 420, 9
11, 263, 501, 80, 578
11, 382, 2, 79, 3
11, 364, 74, 129, 139
11, 108, 2, 154, 2
11, 308, 270, 647, 297
11, 555, 100, 239, 11
11, 90, 111, 78, 176
11, 189, 9, 446, 87
11, 380, 409, 80, 626
11, 398, 2, 167, 53
11, 99, 119, 38, 61
11, 190, 4, 139, 1
11, 124, 663, 28, 156
11, 624, 94, 99, 11
11, 512, 163, 155, 102
11, 245, 85, 473, 124
11, 316, 558, 494, 603
11, 215, 51, 140, 1
11, 129, 148, 156, 228
11, 397, 7, 284, 2
11, 505, 371, 337, 95
11, 134, 11, 85, 12
11, 256, 819, 247, 84
11, 827, 10, 236, 103
11, 575, 139, 54, 68
11, 200, 3, 102, 22
11, 97, 21, 631, 604
11, 198, 28, 539, 609
11, 27, 3, 240, 181
11, 31, 9, 177, 205
