numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 1850, 2576, 510, 584
51, 552, 28, 250, 17
51, 962, 18, 356, 105
51, 1251, 16, 227, 14
51, 586, 23, 243, 63
51, 830, 18, 242, 9
51, 997, 103, 399, 14
51, 1221, 126, 325, 10
51, 745, 16, 415, 49
51, 2238, 13, 432, 38
51, 517, 35, 327, 107
51, 1676, 13, 715, 102
51, 583, 34, 266, 10
51, 1188, 21, 264, 21
51, 771, 16, 632, 11
51, 516, 15, 450, 113
51, 1626, 121, 783, 17
51, 2234, 105, 685, 30
51, 1918, 114, 599, 105
51, 1046, 71, 268, 20
51, 707, 17, 611, 66
51, 1069, 47, 212, 33
51, 1171, 119, 749, 92
51, 1720, 100, 258, 14
51, 594, 13, 395, 23
51, 928, 55, 301, 11
51, 635, 87, 244, 10
51, 980, 52, 394, 15
51, 1298, 37, 250, 36
51, 1925, 125, 359, 10
51, 849, 19, 807, 15
51, 570, 38, 1908, 16
51, 2029, 13, 843, 99
51, 1029, 17, 273, 34
51, 599, 71, 320, 14
51, 996, 19, 442, 17
51, 1414, 79, 350, 72
51, 615, 13, 246, 9
51, 1047, 30, 250, 40
51, 733, 18, 251, 18
51, 863, 14, 370, 81
51, 1095, 19, 212, 39
51, 1118, 17, 845, 110
51, 1693, 88, 234, 11
51, 708, 15, 656, 18
51, 1736, 22, 756, 13
51, 530, 12, 404, 30
51, 1809, 12, 889, 14
51, 687, 29, 303, 58
51, 1694, 110, 556, 115
