numberofranks, regular, regular_with_indexing, binary, binary_with_indexing 
51, 2206, 1373, 504, 321
51, 1826, 17, 155, 3
51, 556, 25, 153, 3
51, 1500, 20, 140, 45
51, 619, 38, 162, 3
51, 497, 28, 284, 4
51, 1173, 21, 136, 5
51, 636, 29, 244, 71
51, 1700, 18, 744, 51
51, 1247, 46, 118, 3
51, 813, 18, 202, 4
51, 1431, 17, 130, 5
51, 513, 18, 314, 5
51, 1511, 113, 667, 4
51, 2078, 244, 251, 3
51, 1574, 59, 340, 29
51, 1953, 12, 147, 6
51, 492, 15, 134, 7
51, 872, 14, 166, 23
51, 1059, 69, 554, 4
51, 1951, 11, 176, 35
51, 743, 11, 187, 3
51, 810, 13, 171, 5
51, 1013, 69, 319, 4
51, 2536, 44, 159, 3
51, 724, 65, 172, 16
51, 761, 96, 356, 36
51, 825, 18, 130, 4
51, 686, 15, 505, 58
51, 1820, 107, 451, 3
51, 889, 16, 182, 9
51, 894, 16, 134, 41
51, 1021, 13, 410, 5
51, 907, 11, 180, 3
51, 515, 35, 417, 4
51, 681, 14, 183, 21
51, 641, 11, 156, 5
51, 1447, 108, 214, 7
51, 825, 13, 196, 4
51, 1477, 19, 743, 56
51, 1281, 16, 139, 23
51, 824, 12, 401, 8
51, 2043, 115, 188, 7
51, 579, 19, 310, 11
51, 3210, 14, 480, 44
51, 1212, 14, 155, 4
51, 1522, 13, 498, 47
51, 1500, 75, 333, 5
51, 726, 17, 512, 3
51, 1617, 20, 756, 45
